project,street,type,district,segment,tenure,commence,sale,price,area,level,date
EAST MEADOWS,TANAH MERAH KECHIL ROAD,Condominium,16,OCR,99 years,1998.0,Resale,1580000,1356.26,06 to 10,Dec-23
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,Apartment,13,RCR,99 years,2014.0,Resale,1060000,538.2,06 to 10,Dec-23
THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 years,2013.0,Resale,2180000,1162.51,06 to 10,Dec-23
DUNMAN VIEW,HAIG ROAD,Condominium,15,RCR,99 years,1997.0,Resale,1700000,1194.8,06 to 10,Dec-23
THE CALLISTA,MAR THOMA ROAD,Apartment,12,RCR,other,1882.0,Resale,1580000,1302.44,06 to 10,Dec-23
CASA PASIR RIS,JALAN LOYANG BESAR,Condominium,17,OCR,other,1938.0,Resale,1230000,1119.46,01 to 05,Dec-23
MARGARET VILLE,MARGARET DRIVE,Apartment,3,RCR,99 years,2017.0,Resale,2588000,1184.04,26 to 30,Dec-23
THE RESERVE RESIDENCES,JALAN ANAK BUKIT,Apartment,21,RCR,99 years,2021.0,New Sale,4333696,1625.36,26 to 30,Dec-23
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,1436608,495.14,26 to 30,Dec-23
CANNINGHILL PIERS,CLARKE QUAY,Apartment,6,RCR,99 years,2021.0,New Sale,8808000,2787.88,31 to 35,Dec-23
PARKSUITES,HOLLAND GROVE ROAD,Apartment,10,CCR,other,2017.0,New Sale,2070000,785.77,01 to 05,Dec-23
PINETREE HILL,PINE GROVE,Condominium,21,RCR,99 years,2022.0,New Sale,1649340,699.66,06 to 10,Dec-23
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,1850000,667.37,11 to 15,Dec-23
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,1819000,850.36,11 to 15,Dec-23
LEONIE HILL RESIDENCES,LEONIE HILL ROAD,Apartment,9,CCR,freehold,,Resale,3200000,1410.08,01 to 05,Dec-23
FLAME TREE PARK,SIN MING AVENUE,Condominium,20,RCR,freehold,,Resale,2820000,1593.07,11 to 15,Dec-23
AVANT RESIDENCES,ALJUNIED ROAD,Apartment,14,RCR,99 years,2012.0,Resale,830000,527.44,06 to 10,Dec-23
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,Apartment,13,RCR,99 years,2014.0,Resale,1650000,775.01,06 to 10,Dec-23
ICON,GOPENG STREET,Apartment,2,CCR,99 years,2002.0,Resale,2018888,1227.1,31 to 35,Dec-23
CARDIFF RESIDENCE,CARDIFF GROVE,Condominium,19,OCR,99 years,2011.0,Resale,950000,613.55,01 to 05,Dec-23
HILLVIEW 128,HILLVIEW AVENUE,Apartment,23,OCR,other,1885.0,Resale,1400000,1044.11,01 to 05,Dec-23
THE CREEK @ BUKIT,TOH TUCK ROAD,Condominium,21,RCR,freehold,,Resale,1436888,721.19,01 to 05,Dec-23
THE SIXTH AVENUE RESIDENCES,SIXTH AVENUE,Condominium,10,CCR,freehold,,Resale,2850000,1356.26,01 to 05,Dec-23
POLLEN & BLEU,FARRER DRIVE,Condominium,10,CCR,99 years,2012.0,Resale,1745000,871.88,01 to 05,Dec-23
EMERALD PARK,INDUS ROAD,Condominium,3,RCR,99 years,1991.0,Resale,1500000,947.23,06 to 10,Dec-23
THE HILLIER,HILLVIEW RISE,Apartment,23,OCR,99 years,2011.0,Resale,1335000,807.3,16 to 20,Dec-23
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 years,2017.0,Resale,1440000,624.31,36 to 40,Dec-23
MY MANHATTAN,SIMEI STREET 3,Condominium,18,OCR,99 years,2010.0,Resale,1285000,871.88,06 to 10,Dec-23
THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 years,2012.0,Resale,1280000,753.48,11 to 15,Dec-23
ENCHANTÉ,EVELYN ROAD,Apartment,11,CCR,freehold,,New Sale,2720000,1001.05,01 to 05,Dec-23
SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 years,2013.0,Resale,1400000,678.13,26 to 30,Dec-23
THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 years,2002.0,Resale,1650000,1108.69,16 to 20,Dec-23
WATTEN HOUSE,SHELFORD ROAD,Condominium,11,CCR,freehold,,New Sale,4976000,1539.25,01 to 05,Dec-23
FORTUNE JADE,DUNMAN ROAD,Apartment,15,RCR,freehold,,Resale,2780000,2195.86,16 to 20,Dec-23
SUITES @ GUILLEMARD,LIM AH WOO ROAD,Apartment,15,RCR,freehold,,Resale,680000,462.85,01 to 05,Dec-23
WOODHAVEN,WOODGROVE AVENUE,Condominium,25,OCR,99 years,2011.0,Resale,778000,592.02,01 to 05,Dec-23
THE SEAWIND,LORONG M TELOK KURAU,Condominium,15,OCR,freehold,,Resale,1288000,688.9,01 to 05,Dec-23
THE BERTH BY THE COVE,OCEAN DRIVE,Condominium,4,CCR,99 years,2004.0,Resale,1900000,1184.04,01 to 05,Dec-23
SEA ESTA,PASIR RIS LINK,Condominium,18,OCR,99 years,2012.0,Resale,1428888,1205.57,01 to 05,Dec-23
CHANGI COURT,UPPER CHANGI ROAD EAST,Condominium,16,OCR,freehold,,Resale,1950000,1367.03,01 to 05,Dec-23
RESIDENCES 88,LORONG MARICAN,Apartment,14,OCR,freehold,,Resale,670000,430.56,01 to 05,Dec-23
ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,freehold,,Resale,1380000,721.19,01 to 05,Dec-23
ROSEWOOD SUITES,ROSEWOOD DRIVE,Condominium,25,OCR,99 years,2008.0,Resale,1550000,1517.72,01 to 05,Dec-23
THE GERANIUM,MANGIS ROAD,Condominium,15,RCR,freehold,,Resale,1128800,753.48,01 to 05,Dec-23
WATERVIEW,TAMPINES AVENUE 1,Condominium,18,OCR,99 years,2010.0,Resale,1800000,1571.54,01 to 05,Dec-23
PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 years,1995.0,Resale,1165000,1054.87,11 to 15,Dec-23
THE BAYSHORE,BAYSHORE ROAD,Condominium,16,OCR,99 years,1993.0,Resale,1700000,1237.86,26 to 30,Dec-23
THE TAPESTRY,TAMPINES STREET 86,Condominium,18,OCR,99 years,2017.0,Resale,800000,473.62,06 to 10,Dec-23
PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 years,2015.0,Resale,1388000,904.18,11 to 15,Dec-23
BLUE HORIZON,WEST COAST CRESCENT,Condominium,5,OCR,99 years,2000.0,Resale,1680000,1162.51,06 to 10,Dec-23
FORTUNE JADE,DUNMAN ROAD,Apartment,15,RCR,freehold,,Resale,2000000,1087.16,01 to 05,Dec-23
THE TENNERY,WOODLANDS ROAD,Apartment,23,OCR,99 years,2010.0,Resale,830000,613.55,06 to 10,Dec-23
SEASONS PARK,YIO CHU KANG ROAD,Condominium,26,OCR,99 years,1995.0,Resale,1200000,1291.68,06 to 10,Dec-23
URBAN VISTA,TANAH MERAH KECHIL LINK,Condominium,16,OCR,99 years,2012.0,Resale,755000,441.32,06 to 10,Dec-23
PARK COLONIAL,WOODLEIGH LANE,Condominium,13,RCR,99 years,2017.0,Resale,1500000,678.13,01 to 05,Dec-23
TANAMERA CREST,PARI DEDAP WALK,Condominium,16,OCR,99 years,2000.0,Resale,1150000,1162.51,01 to 05,Dec-23
A TREASURE TROVE,PUNGGOL WALK,Condominium,19,OCR,99 years,2011.0,Resale,1560000,1044.11,06 to 10,Dec-23
G RESIDENCES,LORONG G TELOK KURAU,Apartment,15,OCR,freehold,,Resale,1600000,1011.82,01 to 05,Dec-23
STRATA,ESSEX ROAD,Apartment,11,CCR,freehold,,Resale,973800,505.91,01 to 05,Dec-23
FORESQUE RESIDENCES,PETIR ROAD,Condominium,23,OCR,99 years,2011.0,Resale,1680000,1130.22,06 to 10,Dec-23
FERRARIA PARK CONDOMINIUM,FLORA DRIVE,Condominium,17,OCR,freehold,,Resale,1200000,958.0,06 to 10,Dec-23
URBAN VISTA,TANAH MERAH KECHIL LINK,Condominium,16,OCR,99 years,2012.0,Resale,925000,559.73,06 to 10,Dec-23
RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 years,2001.0,Resale,1416000,1248.62,06 to 10,Dec-23
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,Apartment,5,RCR,99 years,2005.0,Resale,2980000,1862.17,31 to 35,Dec-23
PRESTIGE HEIGHTS,BALESTIER ROAD,Apartment,12,RCR,freehold,,Resale,750000,430.56,11 to 15,Dec-23
THE CALROSE,YIO CHU KANG ROAD,Condominium,26,OCR,freehold,,Resale,1948000,1076.4,01 to 05,Dec-23
DRAYCOTT EIGHT,DRAYCOTT PARK,Condominium,10,CCR,99 years,1997.0,Resale,2900000,1646.89,16 to 20,Dec-23
THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 years,2006.0,Resale,1900000,1237.86,06 to 10,Dec-23
WATERFRONT GOLD,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 years,2009.0,Resale,1880000,1291.68,01 to 05,Dec-23
MELVILLE PARK,SIMEI STREET 1,Condominium,18,OCR,99 years,1992.0,Resale,900000,968.76,01 to 05,Dec-23
QUEENS,STIRLING ROAD,Condominium,3,RCR,99 years,1998.0,Resale,1530000,914.94,11 to 15,Dec-23
RESIDENTIAL APARTMENTS,TANJONG KATONG ROAD,Apartment,15,RCR,freehold,,Resale,1480000,1022.58,01 to 05,Dec-23
JERVOIS TREASURES,JERVOIS ROAD,Apartment,10,CCR,freehold,,Resale,2913200,1130.22,01 to 05,Dec-23
THE VIRIDIAN,JALAN AMPAS,Apartment,12,RCR,freehold,,Resale,850000,505.91,06 to 10,Dec-23
LIVIA,PASIR RIS GROVE,Condominium,18,OCR,99 years,2008.0,Resale,1550000,1259.39,11 to 15,Dec-23
CHILTERN PARK,SERANGOON AVENUE 3,Condominium,19,OCR,99 years,1991.0,Resale,2220000,1517.72,06 to 10,Dec-23
ROCHELLE AT NEWTON,KENG LEE ROAD,Condominium,11,CCR,99 years,2008.0,Resale,1938000,1011.82,21 to 25,Dec-23
SYMPHONY SUITES,YISHUN CLOSE,Condominium,27,OCR,99 years,2014.0,Resale,1000000,785.77,06 to 10,Dec-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 years,2002.0,Resale,2250000,1033.34,11 to 15,Dec-23
COASTAL BREEZE RESIDENCES,LOYANG BESAR CLOSE,Condominium,17,OCR,99 years,2008.0,Resale,2050000,2368.08,01 to 05,Dec-23
VITRA,TEMBELING ROAD,Apartment,15,RCR,freehold,,Resale,1868000,1097.93,01 to 05,Dec-23
SUITES DE LAUREL,JALAN ANAK BUKIT,Apartment,21,RCR,other,1884.0,Resale,1500000,1044.11,01 to 05,Dec-23
THE LUXURIE,COMPASSVALE ROAD,Condominium,19,OCR,99 years,2011.0,Resale,1190000,1001.05,01 to 05,Dec-23
CENTRA HEIGHTS,SIMS AVENUE,Apartment,14,RCR,freehold,,Resale,825000,462.85,06 to 10,Dec-23
DOUBLE BAY RESIDENCES,SIMEI STREET 4,Condominium,18,OCR,99 years,2008.0,Resale,1700000,1270.15,06 to 10,Dec-23
SIXTEEN35 RESIDENCES,LORONG 35 GEYLANG,Apartment,14,RCR,99 years,2018.0,Resale,880000,538.2,06 to 10,Dec-23
ECO SANCTUARY,CHESTNUT AVENUE,Condominium,23,OCR,99 years,2012.0,Resale,1780000,1162.51,06 to 10,Dec-23
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years,2014.0,Resale,1212000,656.6,01 to 05,Dec-23
PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 years,1995.0,Resale,1380000,1248.62,06 to 10,Dec-23
BISHAN POINT,BRIGHT HILL DRIVE,Condominium,20,RCR,99 years,1997.0,Resale,2100000,1485.43,16 to 20,Dec-23
MELVILLE PARK,SIMEI STREET 1,Condominium,18,OCR,99 years,1992.0,Resale,938000,1044.11,06 to 10,Dec-23
ADANA @ THOMSON,OLD UPPER THOMSON ROAD,Apartment,20,OCR,freehold,,Resale,2220000,1151.75,01 to 05,Dec-23
THE PALETTE,PASIR RIS GROVE,Condominium,18,OCR,99 years,2010.0,Resale,733000,495.14,01 to 05,Dec-23
8 @ MOUNT SOPHIA,MOUNT SOPHIA,Condominium,9,CCR,other,2002.0,Resale,1380000,861.12,01 to 05,Dec-23
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 years,2010.0,Resale,1320000,635.08,16 to 20,Dec-23
THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 years,2010.0,Resale,1800000,1022.58,11 to 15,Dec-23
PARK COLONIAL,WOODLEIGH LANE,Condominium,13,RCR,99 years,2017.0,Resale,1528000,678.13,01 to 05,Dec-23
368 THOMSON,THOMSON ROAD,Condominium,11,CCR,freehold,,Resale,1650000,871.88,16 to 20,Dec-23
HIGH OAK CONDOMINIUM,TOH TUCK ROAD,Condominium,21,RCR,99 years,1996.0,Resale,1670000,1173.28,01 to 05,Dec-23
VILLA MARINA,JALAN SEMPADAN,Condominium,15,OCR,99 years,1995.0,Resale,2255000,2012.87,01 to 05,Dec-23
JERVOIS TREASURES,JERVOIS ROAD,Apartment,10,CCR,freehold,,Resale,2868200,1130.22,01 to 05,Dec-23
ECOVILLE,MARTABAN ROAD,Apartment,12,RCR,freehold,,Resale,1800000,1184.04,06 to 10,Dec-23
VOLARI,BALMORAL ROAD,Condominium,10,CCR,freehold,,Resale,4900000,2034.4,01 to 05,Dec-23
ALTEZ,ENGGOR STREET,Apartment,2,CCR,99 years,2008.0,Resale,1550000,861.12,26 to 30,Dec-23
THE CLIFT,MCCALLUM STREET,Apartment,1,CCR,99 years,2004.0,Resale,1055000,527.44,21 to 25,Dec-23
HUME PARK II,HUME AVENUE,Condominium,21,OCR,freehold,,Resale,2418888,1474.67,06 to 10,Dec-23
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,1906000,936.47,01 to 05,Dec-23
CONCOURSE SKYLINE,BEACH ROAD,Apartment,7,CCR,99 years,2008.0,Resale,2300000,1108.69,16 to 20,Dec-23
KALLANG RIVERSIDE,KAMPONG BUGIS,Apartment,12,RCR,freehold,,Resale,2865000,1140.98,26 to 30,Dec-23
THE HILLIER,HILLVIEW RISE,Apartment,23,OCR,99 years,2011.0,Resale,890000,559.73,21 to 25,Dec-23
THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 years,2008.0,Resale,1468888,1442.38,01 to 05,Dec-23
KATONG REGENCY,TANJONG KATONG ROAD,Apartment,15,RCR,freehold,,Resale,1850000,936.47,11 to 15,Dec-23
GLOBAL VILLE,JALAN RAJA UDANG,Apartment,12,RCR,freehold,,Resale,1668000,1184.04,11 to 15,Dec-23
WATERFRONT @ FABER,FABER WALK,Apartment,5,OCR,99 years,2013.0,Resale,1935000,1291.68,01 to 05,Dec-23
THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 years,2007.0,Resale,2420000,1657.66,01 to 05,Dec-23
BISHAN PARK CONDOMINIUM,SIN MING WALK,Condominium,20,RCR,99 years,1991.0,Resale,1735000,1323.97,01 to 05,Dec-23
RESIDENCES BOTANIQUE,YIO CHU KANG ROAD,Condominium,19,OCR,freehold,,Resale,1380000,893.41,01 to 05,Dec-23
BEACON HEIGHTS,MAR THOMA ROAD,Condominium,12,RCR,other,1882.0,Resale,1388000,925.7,11 to 15,Dec-23
THE CLAYMORE,CLAYMORE ROAD,Condominium,9,CCR,freehold,,Resale,11680000,3347.6,21 to 25,Dec-23
THE CITRINE,JALAN DATOH,Apartment,12,RCR,freehold,,Resale,1800000,1140.98,16 to 20,Dec-23
BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 years,2012.0,Resale,2490000,1302.44,06 to 10,Dec-23
EIGHT COURTYARDS,CANBERRA DRIVE,Condominium,27,OCR,99 years,2010.0,Resale,1180000,1001.05,06 to 10,Dec-23
THE TRILINQ,JALAN LEMPENG,Condominium,5,OCR,99 years,2012.0,Resale,1635000,914.94,01 to 05,Dec-23
THE SPRINGBLOOM,SERANGOON AVENUE 3,Condominium,19,OCR,99 years,1995.0,Resale,2100000,1302.44,06 to 10,Dec-23
H2O RESIDENCES,FERNVALE LINK,Condominium,28,OCR,99 years,2010.0,Resale,1450000,1076.4,01 to 05,Dec-23
THE BOUTIQ,KILLINEY ROAD,Apartment,9,CCR,freehold,,Resale,2150000,871.88,01 to 05,Dec-23
JERVOIS TREASURES,JERVOIS ROAD,Apartment,10,CCR,freehold,,Resale,2413000,893.41,01 to 05,Dec-23
CITYLIGHTS,JELLICOE ROAD,Condominium,8,RCR,99 years,2004.0,Resale,2380000,1356.26,06 to 10,Dec-23
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years,2014.0,Resale,1300000,979.52,01 to 05,Dec-23
LE QUEST,BUKIT BATOK STREET 41,Apartment,23,OCR,99 years,2016.0,Resale,1300000,807.3,16 to 20,Dec-23
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,Apartment,19,OCR,99 years,2014.0,Resale,883000,656.6,01 to 05,Dec-23
CANBERRA RESIDENCES,CANBERRA DRIVE,Condominium,27,OCR,99 years,2010.0,Resale,980000,850.36,01 to 05,Dec-23
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,other,1885.0,New Sale,2081000,936.47,01 to 05,Dec-23
THE RESERVE RESIDENCES,JALAN ANAK BUKIT,Apartment,21,RCR,99 years,2021.0,New Sale,3852917,1625.36,06 to 10,Dec-23
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 years,2013.0,Resale,995000,441.32,36 to 40,Dec-23
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,1850000,667.37,11 to 15,Dec-23
LAKE GRANDE,JURONG LAKE LINK,Condominium,22,OCR,99 years,2015.0,Resale,1360000,721.19,06 to 10,Dec-23
SCOTTS SQUARE,SCOTTS ROAD,Apartment,9,CCR,freehold,,Resale,3100000,947.23,36 to 40,Dec-23
RIVERVALE CREST,RIVERVALE CRESCENT,Apartment,19,OCR,99 years,1997.0,Resale,1270000,1194.8,06 to 10,Dec-23
URBAN VISTA,TANAH MERAH KECHIL LINK,Condominium,16,OCR,99 years,2012.0,Resale,955000,592.02,11 to 15,Dec-23
MAYSPRINGS,PETIR ROAD,Apartment,23,OCR,99 years,1994.0,Resale,1400000,1313.21,06 to 10,Dec-23
ECO,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 years,2012.0,Resale,1430000,1054.87,01 to 05,Dec-23
LOFT @ STEVENS,STEVENS ROAD,Apartment,10,CCR,freehold,,Resale,1365000,656.6,01 to 05,Dec-23
OPTIMA @ TANAH MERAH,TANAH MERAH KECHIL AVENUE,Condominium,16,OCR,99 years,2008.0,Resale,2060000,1367.03,11 to 15,Dec-23
FORTE SUITES,MERGUI ROAD,Apartment,8,RCR,freehold,,Resale,1130000,613.55,11 to 15,Dec-23
GAMBIR RIDGE,GAMBIR WALK,Apartment,19,OCR,freehold,,Resale,1680000,1130.22,01 to 05,Dec-23
THE MILTONIA RESIDENCES,MILTONIA CLOSE,Condominium,27,OCR,99 years,2010.0,Resale,1018000,861.12,01 to 05,Dec-23
THE SKYWOODS,DAIRY FARM HEIGHTS,Condominium,23,OCR,99 years,2012.0,Resale,1628000,1011.82,06 to 10,Dec-23
SHERWOOD TOWER,JALAN ANAK BUKIT,Apartment,21,RCR,99 years,1976.0,Resale,1650000,1539.25,21 to 25,Dec-23
THE MEYERISE,MEYER ROAD,Condominium,15,RCR,freehold,,Resale,4500000,2055.92,06 to 10,Dec-23
THE LANAI,HILLVIEW AVENUE,Condominium,23,OCR,other,1885.0,Resale,1600000,1044.11,01 to 05,Dec-23
HOLLAND RESIDENCES,TAMAN WARNA,Condominium,10,CCR,freehold,,Resale,2130000,979.52,01 to 05,Dec-23
THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 years,2006.0,Resale,1650888,1065.64,11 to 15,Dec-23
WATERVIEW,TAMPINES AVENUE 1,Condominium,18,OCR,99 years,2010.0,Resale,1453000,1130.22,01 to 05,Dec-23
MIDTOWN RESIDENCES,UPPER SERANGOON ROAD,Apartment,19,OCR,99 years,2013.0,Resale,1000000,645.84,01 to 05,Dec-23
EAST ELEGANCE,JOO CHIAT TERRACE,Apartment,15,RCR,freehold,,Resale,1190000,753.48,01 to 05,Dec-23
THE BALMORAL SPRING,BALMORAL CRESCENT,Apartment,10,CCR,freehold,,Resale,2700000,1227.1,06 to 10,Dec-23
SKY VUE,BISHAN STREET 15,Condominium,20,RCR,99 years,2013.0,Resale,2500000,1140.98,31 to 35,Dec-23
THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,freehold,,Resale,1500000,753.48,16 to 20,Dec-23
THE GLADES,BEDOK RISE,Condominium,16,OCR,99 years,2013.0,Resale,800000,452.09,01 to 05,Dec-23
MULBERRY TREE,MOULMEIN ROAD,Apartment,11,CCR,freehold,,Resale,1230000,667.37,01 to 05,Dec-23
EUHABITAT,JALAN EUNOS,Condominium,14,OCR,99 years,2010.0,Resale,776000,538.2,01 to 05,Dec-23
HILLVIEW PARK,HILLVIEW AVENUE,Condominium,23,OCR,freehold,,Resale,1850000,1248.62,11 to 15,Dec-23
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,2644000,1313.21,06 to 10,Dec-23
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 years,2013.0,Resale,1020000,473.62,31 to 35,Dec-23
KOVAN MELODY,KOVAN ROAD,Condominium,19,OCR,99 years,2004.0,Resale,1300000,904.18,06 to 10,Dec-23
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,Apartment,27,OCR,99 years,2015.0,Resale,1743000,968.76,06 to 10,Dec-23
WATTEN HOUSE,SHELFORD ROAD,Condominium,11,CCR,freehold,,New Sale,6054000,1851.41,01 to 05,Dec-23
MARTIN NO 38,MARTIN ROAD,Apartment,9,CCR,freehold,,Resale,3450000,1334.74,01 to 05,Dec-23
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,Apartment,19,OCR,99 years,2014.0,Resale,735000,484.38,11 to 15,Dec-23
NEPTUNE COURT,MARINE VISTA,Apartment,15,OCR,99 years,1976.0,Resale,1298000,1270.15,21 to 25,Dec-23
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 years,2009.0,Resale,910000,635.08,01 to 05,Dec-23
THE BOTANY AT DAIRY FARM,DAIRY FARM WALK,Condominium,23,OCR,99 years,2022.0,New Sale,2115000,1033.34,11 to 15,Dec-23
STARS OF KOVAN,UPPER SERANGOON ROAD,Apartment,19,OCR,99 years,2015.0,Resale,1430000,742.72,06 to 10,Dec-23
THE PALETTE,PASIR RIS GROVE,Condominium,18,OCR,99 years,2010.0,Resale,1080000,753.48,01 to 05,Dec-23
BRADDELL VIEW,BRADDELL HILL,Apartment,20,RCR,other,1975.0,Resale,1580000,1453.14,16 to 20,Dec-23
JUPITER 18,LORONG 102 CHANGI,Apartment,15,RCR,freehold,,Resale,1398000,1022.58,01 to 05,Dec-23
JOOL SUITES,SING JOO WALK,Apartment,8,RCR,freehold,,Resale,790000,688.9,01 to 05,Dec-23
KENTISH GREEN,OXFORD ROAD,Apartment,8,RCR,99 years,1995.0,Resale,1660000,1356.26,01 to 05,Dec-23
SKYSUITES@ANSON,ENGGOR STREET,Apartment,2,CCR,99 years,2008.0,Resale,868000,365.98,21 to 25,Dec-23
PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 years,2015.0,Resale,822000,462.85,31 to 35,Dec-23
THE HILLIER,HILLVIEW RISE,Apartment,23,OCR,99 years,2011.0,Resale,970000,592.02,21 to 25,Dec-23
THE TENNERY,WOODLANDS ROAD,Apartment,23,OCR,99 years,2010.0,Resale,800000,613.55,06 to 10,Dec-23
PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 years,2011.0,Resale,760000,581.26,01 to 05,Dec-23
MARTIN MODERN,MARTIN PLACE,Condominium,9,CCR,99 years,2016.0,Resale,3970000,1420.85,16 to 20,Dec-23
SEASCAPE,COVE WAY,Condominium,4,CCR,99 years,2007.0,Resale,4110000,2174.33,06 to 10,Dec-23
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 years,2013.0,Resale,950000,441.32,11 to 15,Dec-23
MANDARIN GARDENS,SIGLAP ROAD,Condominium,15,OCR,99 years,1982.0,Resale,2300000,2023.63,06 to 10,Dec-23
WING FONG MANSIONS,LORONG 14 GEYLANG,Apartment,14,RCR,freehold,,Resale,1100000,947.23,01 to 05,Dec-23
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years,2014.0,Resale,1050000,678.13,16 to 20,Dec-23
PARK COLONIAL,WOODLEIGH LANE,Condominium,13,RCR,99 years,2017.0,Resale,2200000,979.52,11 to 15,Dec-23
THE HILLFORD,JALAN JURONG KECHIL,Apartment,21,RCR,other,2013.0,Resale,715000,505.91,06 to 10,Dec-23
THE TAPESTRY,TAMPINES STREET 86,Condominium,18,OCR,99 years,2017.0,Resale,1522000,925.7,06 to 10,Dec-23
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 years,2013.0,Resale,2785000,1302.44,11 to 15,Dec-23
FLAMINGO VALLEY,SIGLAP ROAD,Condominium,15,OCR,freehold,,Resale,3208000,3110.8,01 to 05,Dec-23
THE SERENNO,HAIG ROAD,Apartment,15,RCR,freehold,,Resale,820000,484.38,01 to 05,Dec-23
D'SAVILLE,JALAN TENGGIRI,Apartment,15,OCR,freehold,,Resale,3490000,2561.83,01 to 05,Dec-23
BARTLEY RIDGE,MOUNT VERNON ROAD,Condominium,13,RCR,99 years,2012.0,Resale,1480000,850.36,06 to 10,Dec-23
THE BEVERLY,TOH TUCK ROAD,Apartment,21,RCR,freehold,,Resale,2820000,2744.82,01 to 05,Dec-23
THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 years,2008.0,Resale,1538000,1302.44,01 to 05,Dec-23
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,1533000,710.42,11 to 15,Dec-23
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,1516000,710.42,01 to 05,Dec-23
PINETREE HILL,PINE GROVE,Condominium,21,RCR,99 years,2022.0,New Sale,1322640,538.2,11 to 15,Dec-23
CUSCADEN RESERVE,CUSCADEN ROAD,Condominium,10,CCR,99 years,2018.0,New Sale,3537000,936.47,21 to 25,Dec-23
SKY EDEN@BEDOK,BEDOK CENTRAL,Apartment,16,OCR,99 years,2022.0,New Sale,2370000,1087.16,11 to 15,Dec-23
THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,Condominium,4,RCR,99 years,2021.0,New Sale,2843520,1076.4,01 to 05,Dec-23
MIDTOWN MODERN,TAN QUEE LAN STREET,Apartment,7,CCR,99 years,2019.0,New Sale,6350000,1808.35,21 to 25,Dec-23
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,1891780,678.13,21 to 25,Dec-23
J'DEN,JURONG EAST CENTRAL 1,Apartment,22,OCR,99 years,2023.0,New Sale,2078000,818.06,06 to 10,Dec-23
